emp_id,first_name,last_name,address,postal_code,phone_number,email_address,role,department_id,park_id
10023,Ralf,Macias,8380 High Noon Road,31527,623-547-8318,Ralf.Macias@fakeEmail.com,Physical scientist,PACED,GRCA
10024,Veronica,Shaw,769 Stillwater Lane,95623,865-315-7551,Veronica.Shaw@fakeEmail.com,Ecologist,VARPD,GRSA
10025,Liam,Jimenez,727 West Glendale Ave.,45614,312-648-6599,Liam.Jimenez@fakeEmail.com,Geologist,CRPSD,GRSM
10026,Morgan,Shields,3 Plumb Branch Drive,16874,128-562-4938,Morgan.Shields@fakeEmail.com,Biologist,IEAVD,GRTE
10027,Nicholas,Mclean,530 Fordham St.,12357,628-643-8864,Nicholas.Mclean@fakeEmail.com,Park Ranger,APAEU,GUMO
10028,Michel,Dennis,221 N. Second St.,96584,864-539-6725,Michel.Dennis@fakeEmail.com,Interpreter,PPFLD,HALE
10029,Susan,Ritter,9075 Harvey St.,16387,532-658-9131,Susan.Ritter@fakeEmail.com,Educator,PACED,HAVO
10030,Nicholas,Esparza,8975 Armstrong Lane,16548,623-547-8319,Nicholas.Esparza@fakeEmail.com,Visitor services,VARPD,HOSP
10031,James,Harrington,40 E. Evergreen Lane,48695,865-315-7552,James.Harrington@fakeEmail.com,Data manager,CRPSD,ISRO
10032,Abraham,Lane,7686 Fairfield Dr.,41565,312-648-6600,Abraham.Lane@fakeEmail.com,Maintenance worker,IEAVD,JOTR
10033,George,Atkins,8603 Cambridge Lane,48965,128-562-4939,George.Atkins@fakeEmail.com,Resource manager,NRSSD,KATM
10034,Thomas,Manning,9 Old San Juan Ave.,78945,628-643-8865,Thomas.Manning@fakeEmail.com,Soundscape specialist,PPFLD,KEFJ
10035,Franklin,Cummings,64 Columbia St.,46851,864-539-6726,Franklin.Cummings@fakeEmail.com,Archaeologist,PACED,KOVA
10036,Catherine,Zuniga,9698 Windsor St.,42115,532-658-9132,Catherine.Zuniga@fakeEmail.com,Physical scientist,VARPD,LACL
10037,Katie,Bryant,3 Addison Rd.,35452,623-547-8320,Katie.Bryant@fakeEmail.com,Ecologist,CRPSD,LAVO
10038,William,Barajas,890 Kirkland Street,97548,865-315-7553,William.Barajas@fakeEmail.com,Geologist,IEAVD,MACA
10039,Amanda,Gallagher,977 Manhattan Lane,96513,312-628-6601,Amanda.Gallagher@fakeEmail.com,Biologist,APAEU,MEVE
10040,Amy,Hooper,8975 Armstrong Lane,75412,128-562-4940,Amy.Hooper@fakeEmail.com,Park Ranger,PPFLD,MORA
10041,Gary,Moss,40 E. Evergreen Lane,65244,628-643-8866,Gary.Moss@fakeEmail.com,Interpreter,PACED,NOCA
10042,Annie,Charles,7686 Fairfield Dr.,78451,864-539-6727,Annie.Charles@fakeEmail.com,Educator,VARPD,OLYM
10043,Betty,Landry,8603 Cambridge Lane,98654,532-658-9133,Betty.Landry@fakeEmail.com,Visitor services,CRPSD,PEFO
10044,Don,Gill,9 Old San Juan Ave.,12354,623-547-8321,Don.Gill@fakeEmail.com,Data manager,IEAVD,PINN
10045,Cameron,Gutierrez,64 Columbia St.,41245,865-315-7554,Cameron.Gutierrez@fakeEmail.com,Maintenance worker,NRSSD,REDW
10046,Philip,Santiago,9698 Windsor St.,45681,312-648-6602,Philip.Santiago@fakeEmail.com,Resource manager,PPFLD,ROMO
10047,Ellie,Morgan,3 Addison Rd.,42571,128-562-4941,Ellie.Morgan@fakeEmail.com,Soundscape specialist,PACED,SAGU
10048,Patricia,Austin,890 Kirkland Street,32451,628-643-8867,Patricia.Austin@fakeEmail.com,Archaeologist,VARPD,SEKI
10049,Sadie,Ford,977 Manhattan Lane,45631,864-539-6728,Sadie.Ford@fakeEmail.com,Physical scientist,CRPSD,SHEN
10050,Bella,Costa,647 Forest St.,45321,532-658-9134,Bella.Costa@fakeEmail.com,Ecologist,IEAVD,THRO
10051,Gary,Merchant,584 Beachdrive Ave.,12358,324-589-9148,Gary.Merchant@fakeEmail.com,Visitor services,CRPSD,VOYA
10052,Terry,Juliano,625 Pine St.,44572,532-652-6854,Terry.Juliano@fakeEmail.com,Data manager,IEAVD,WICA
10053,Grace,Herbert,947 Olive Dr. ,77645,325-965-8425,Grace.Herbert@fakeEmail.com,Maintenance worker,NRSSD,WRST
10054,Jillian,Fox,512 Mapleseed Lane,22158,451-584-5574,Jillian.Fox@fakeEmail.com,Resource manager,PPFLD,YELL
10055,Camille,Leroi,547 Waterall Dr. ,65223,684-325-6122,Camille.Leroi@fakeEmail.com,Soundscape specialist,PACED,YOSE
10056,Valerie,Smith,8462 Cedar Lane,44124,562-865-4815,Valerie.Smith@fakeEmail.com,Archaeologist,VARPD,ZION
